CAT CODE;RUS;KAZ;LEVEL;
Airsoft gas;Газовые баллончики для страйкбольного оружия;Страйкбол _аруына арнал_ан газ баллондары;3;
Rangefinders for hunting;Дальномеры для охоты;А_ аула_а керек _за_тан _лшегіштер;3;
Spare parts for paintball equipment;Запасные части для пейнтбольного оборудования;Пейнтбол жабды_ыны_ _осал_ы б_лшектері;3;
Chargers for airsoft guns;Зарядные устройства для страйкбольного оружия;Страйкбол _аруыны_ _уаттандыру __рыл_ылары;3;
Goggles for shooting;Защитные очки для стрельбы;Мылты_ ату_а керек _ор_аныш к_з_йнек;3;
Weapon cleaning tools;Инструменты для чистки оружия;_ару тазалайтын __рал-сайман;3;
Hunting traps;Капканы для охоты;А_ аулайтын _а_пан;3;
Gun holsters;Кобуры для оружия;Мылты_ _аптары;3;
Hunting calls;Манки для охоты;А_ аулау_а керек т_за_;3;
Camouflage nets;Маскировочные сетки;Жасыр_ыш тор;3;
Shooting headphones;Наушники для стрельбы;Мылты_ ат_анда киетін __ла__ап;3;
Hunting clothing;Одежда и обувь для охоты;А_шыны_ киімі мен ая_ киімі;3;
Magazine pouches;Патронташи для охоты;А_шыларды_ о_шантайлары;3;
Stocks for hunting;Приклады для оружия;Мылты_ д_мбісі;3;
Sights for hunting and shooting;Прицелы для охоты и стрельбы;А_ аулау мен мылты_ ату_а керек нысана к_здегіш;3;
Rifle belts;Ремни ружейные;Мылты_ баулары;3;
Slingshots;Рогатки для спортивной стрельбы и охоты;Спортты_ атыс бала_паны;3;
Sports bows;Спортивные луки и арбалеты;Спортты_ сада_, арбалеттер;3;
Weapon cleaners;Средства для ухода за оружием;Мылты_ к_тіміне керек __ралдар;3;
Machine tools and rests for shooting;Станки и упоры для пристрелки;Нысана к_здеуге керек станоктар мен тіреуіштер;3;
Airsoft pistols;Страйкбольное оружие;Страйкбол _аруы;3;
Hunting bags;Сумки и ящики для охоты;А_шыларды_ дорбалары мен _ораптары;3;
Thermal imagers for hunting;Тепловизоры для охоты;А_ аула_анда _олданылатын тепловизорлар;3;
Products for diving and spearfishing;Товары для дайвинга и подводной охоты;Дайвинг пен су астында а_ аулау_а керек тауарлар;3;
Cases for airsoft guns;Чехлы для страйкбольного оружия;Страйкбол _аруыны_ _аптары;3;
Decoys;Чучела для охоты;А_шылы__а арнал_ан т_лыптар;3;
Slingshot balls;Шарики для рогаток;Бала_пан доптары;3;
Paintball balls;Шары для пейнтбола;Пейнтбол доптары;3;
Balls and bullets for pneumatic weapons;Шары и пули для страйкбольного оружия;Страйкбол _аруыны_ бытырасы мен о_тары;3;
Accessories for underwater cameras;Аксессуары для подводных камер;Су астында т_сіретін камераларды_ керек-жара_ы;3;
Fishing accessories;Аксессуары для рыбалки;Балы_шыларды_ керек-жара_ы;3;
Household weather stations for fishing;Бытовые метеостанции;Т_рмысты_ метеостанциялар;3;
Rod tips;Вершинки для удилищ;_арма_ _штары;3;
Fishing scales;Весы для рыбалки;Балы_шыларды_ таразысы;3;
Propellers for outboard motors;Винты для лодочных моторов;_айы_ моторларыны_ винттері;3;
Ice fishing tip-ups;Жерлицы;М_з _стінен балы_ аулайтын __рыл_ы;3;
Spare parts for outboard motors;Запчасти для лодочных моторов;_айы_ моторларыны_ _осал_ы б_лшектері;3;
Accessories for ice augers;Комплектующие для ледобуров;М_зжар_ыштарды_ _осал_ы жабды_ы;3;
Inflatable boat accessories;Комплектующие для лодок;_айы_тарды_ _осал_ы б_лшектері;3;
Accessories for outboard motors;Комплектующие для лодочных моторов;_айы_тарды_ __рамдас б_ліктері;3;
Fishing feeders;Кормушки для рыбалки;Балы_ аулау_а керек жемт_за_тар;3;
Fishing lanyards;Куканы для рыбалки;Балы_ алып ж_ретін __рыл_ылар;3;
Ice augers;Ледобуры для рыбалки;Ледобуры для рыбалки;3;
Boating paddles;Лодочные весла;_айы_ ескектері;3;
Boat motors;Лодочные моторы;_айы_ моторлары;3;
Boats motor oils;Масла для лодочных моторов;_айы_ моторларыны_ майы;3;
Inflatable boats;Надувные лодки;_рленетін _айы_;3;
Blades for ice augers;Ножи для ледобуров;М_з ой_ышты_ пыша_ы;3;
Fishing clothing;Одежда и обувь для рыбалки;Балы_шыларды_ киімі мен ая_ киімі;3;
Underwater cameras;Подводные камеры;Су асты камералары;3;
Fishing rod holders;Подставки под удилища;_арма_ сабын тірегіштер;3;
Fishing floats;Поплавки для рыбалки;_алыт_ы;3;
Feed for fishing;Прикормки для рыбалки;Балы_ ша_ыру _шін шашатын жем;3;
Fishing line and tippets;Рыболовная леска и поводки;_арма_ баулары мен жал_а_ыштары;3;
Fishing umbrellas;Рыболовные зонты;Балы_шыларды_ _олшатырлары;3;
Fishing reels;Рыболовные катушки;_арма_ катушкалары;3;
Fishing kits;Рыболовные наборы;Балы_ аулау_а арнал_ан жина_тар;3;
Nets for fishing;Рыболовные сети;Балы_ аулайтын ау;3;
Fishing nets;Садки и подсачеки;С_згілер мен _оржын аулар;3;
Fishing sleds;Санки рыбацкие;Балы_шы шанасы;3;
Bite indicators;Сигнализаторы поклевки;Балы_ _ап_анынан белгі бергіштер;3;
Signaling goods;Сигнальные средства;Дабыл беретін __ралдар;3;
Inflatable boat seats;Сиденья для надувных лодок;_рлемелі _айы_тарды_ отыр_ыштары;3;
Life jackets;Спасательные жилеты и пояса;__т_ару кеудешелері мен белдіктері;3;
Repair supplies for inflatable boats;Средства для ремонта надувных лодок;_рлемелі _айы_тарды ж_ндеу __ралдары;3;
Hunting and fishing bags;Сумки и ящики для рыбалки;Сумки и ящики для рыбалки;3;
Dryers for fish;Сушилки для рыбы;Балы_ кептіргіштер;3;
Goods for fishing equipment;Товары для оснасток;_арма_ты_ керек-жара_ы;3;
Boat transoms;Транцы для лодок;_айы_тарды_ мотор бекіткіштері;3;
Fishing rods;Удилища;_арма_ саптары;3;
Feeder platforms and chairs;Фидерные платформы и кресла;Фидер платформалары мен креслолары;3;
Ice auger drill bits;Шнеки для ледобуров;Шнеки для ледобуров;3;
Spools for fishing reels;Шпули для рыболовных катушек;_арма_ катушкаларыны_ шпульдері;3;
Fish and depth finders;Эхолоты;Эхолот;3;
Accessories for handcuffs;Аксессуары для наручников;Кісенні_ керек-жара_ы;3;
Self defense pepper sprays;Газовые баллончики;Кішкентай газ баллондары;3;
Handcuffs;Наручники;Кісендер;3;
Trampolines accessories;Аксессуары для батутов;Батуттарды_ керек-жара_ы;3;
Balance boards;Балансборды;Балансборд;3;
Balance trainers;Балансировочные тренажеры;Тепе-те_дікті жатты_тыратын тренажерлар;3;
Weight bars;Бодибары;Бодибар;3;
Climbing rope ladders;Веревочные лестницы;Ар_ан сатылар;3;
Dumbbells;Гантели и наборы гантелей;Гантельдер, гантель жиынты_тары;3;
Gymnastics rings;Гимнастические кольца;Гимнастикалы_ шы_ыршы_тар;3;
Kettlebells;Гири;Гири;3;
Fitness trampolines;Каркасные батуты;Каркас батуттар;3;
Hand grip strengtheners;Кистевые тренажеры;Кистевые Тренажерлар;3;
Exercise mats;Коврики для занятий йогой и фитнесом;Йога мен фитнеске арнал_ан т_сеніштер;3;
Pilates rings;Кольца для пилатеса;Пилатес шы_ыршы_тары;3;
Foam rollers;Массажные валики и ролики;Массаж жасайтын роликтер;3;
Fitness sets;Наборы для фитнеса;Фитнеске арнал_ан жина_тар;3;
Fitness hoola hoops;Обручи для фитнеса;Фитнеске арнал_ан ше_берлер;3;
Clothes for slimming;Одежда для похудения;Ары_тау_а арнал_ан киім;3;
Jogging parachutes;Парашюты для бега;Ж_гіруге арнал_ан парашюттар;3;
Heart rate monitors and pedometers;Пульсометры и шагомеры;Пульсометры и шагомеры;3;
Ab rollers;Ролики для пресса;_арын б_лшы_етін жатты_тыратын роликтер;3;
Roll shapers;Роликовые тренажеры;Роликті тренажерлар;3;
Handles for resistance bands;Ручки для эспандеров;Эспандер т_т_алары;3;
Stopwatches;Секундомеры;Секундомеры;3;
Jump ropes;Скакалки для фитнеса;Скакалки для фитнеса;3;
Sports mats;Спортивные маты;Спорт_а арнал_ан маттар;3;
Sports courts;Спортивные площадки;Спорт ала_дары;3;
Sport duffels;Спортивные сумки;Спорт_а арнал_ан с_мкелер;3;
Step platforms;Степ-платформы;Степ-платформы;3;
Resistance trainers;Тренировочные петли;Жатты_у ілмектері;3;
Pull-up bars;Турники;Турниктер;3;
Pushup stands;Упоры для отжиманий;Кеуде серпуге арнал_ан тіреуіштер;3;
Press stands;Упоры для пресса;Пресс тіреуіштері;3;
Fitness weights;Утяжелители;Ауырлат_ыштар;3;
Exercise and medicine balls;Фитболы и медболы для занятий фитнесом;Фитнеске арнал_ан фитболдар мен медболдар;3;
Gym membership;Фитнес абонементы;Фитнес абонементтері;3;
Sports mats covers;Чехлы для спортивных ковриков и матов;Спорт_а арнал_ан маттар мен т_сеніштерді_ _аптары;3;
Swedish walls;Шведские стенки;Швед _абыр_алары;3;
Energy bracelets;Энергетические браслеты;Энергия _лшейтін білезіктер;3;
Hand strengtheners;Эспандеры;Эспандеры;3;
Treadmills;Беговые дорожки;Ж_гіру жола_тары;3;
Exercise bikes;Велотренажеры;Велотренажерлар;3;
Hyperextension benches;Гиперэкстензии;Гиперэкстензии;3;
Gravity Boots;Гравитационные ботинки;Гравитационные ботинки;3;
Rowing machines;Гребные тренажеры;Ескек тренажерлар;3;
Trainers for kids;Детские тренажеры;Балалар_а арнал_ан тренажерлер;3;
Jumpers;Джамперы;Джамперлер;3;
Barbell plates;Диски для штанг;Штанга дискілері;3;
Additional equipment for trainers;Дополнительное оборудование для тренажеров;Тренажерлерді_ _осал_ы жабды_тары;3;
Alternative strength trainers;Другие силовые тренажеры;_зге де к_ш салатын тренажерлар;3;
Locks for barbell bars;Замки для грифов;Гриф __лыптары;3;
Inversion Tables;Инверсионные столы;Инверсиялы_ _стелдер;3;
Pogo sticks;Пого Стики;Пого стиктер;3;
Riders;Райдеры;Райдерлер;3;
Crossfit sled;Сани для кроссфита;Кроссфитке арнал_ан шаналар;3;
Weight racks;Силовые рамы и машины Смита;К_ш салатын жа_таулар мен Смит машиналары;3;
Strength training stations;Силовые тренажеры;К_ш салатын тренажерлар;3;
Bench and racks;Скамьи и стойки;Орынды_тар мен т__ырлар;3;
Step machines;Степперы;Степперлер;3;
Barbells;Штанги;Штангалар;3;
Elliptical trainers;Эллиптические тренажеры;Эллипс тренажерлар;3;
Metal detector accessories;Аксессуары для металлоискателей;Меттал іздегіштерді_ керек-жара_ы;3;
Accessories for sleeping bags and camping mats;Аксессуары для спальников и туристических ковриков;Туристерді_ к_рпе_аптары мен т_сеніштеріні_ керек-жара_ы;3;
Accessories for sports backpacks;Аксессуары для спортивных рюкзаков;Спортты_ ар_а_оржындарды_ керек-жара_ы;3;
Trekking poles accessories;Аксессуары для треккинговых палок;Трекинг тая_тарыны_ керек-жара_ы;3;
Backpacking stoves accessories;Аксессуары для туристических горелок;Туристерді_ газ оша_тарыны_ керек-жара_ы;3;
Accessories for camping knives and multitools;Аксессуары для туристических ножей и мультитулов;Туристерді_ пыша_тары мен мультитулдарыны_ керек-жара_ы;3;
Camping flashlights accessories;Аксессуары для фонарей;_олшамдарды_ керек-жара_ы;3;
Camera traps accessories;Аксессуары для фотоловушек;Фотот_за_тарды_ керек-жара_ы;3;
Travel earplugs;Беруши для путешествий;Саяхат_а арнал_ан __ла_бітеулер;3;
Binoculars and spotting scopes;Бинокли и зрительные трубы;Д_рбілер;3;
Gas cylinders for camping burners;Газовые баллоны для туристических горелок;Туристерді_ оша_тарына арнал_ан газ баллондары;3;
Dry bags;Гермомешки;Герметик _аптар;3;
Chargers and batteries for metal detectors;Зарядные устройства и аккумуляторы для металлоискателей;Металл іздегіштерді_ _уаттау __рыл_ылары мен аккумуляторлары;3;
Search coils;Катушки для металлоискателей;Металл іздегіштерді_ катушкалары;3;
Camping;Кемпинг;Кемпинг;3;
Compasses;Компасы;Компастар;3;
Machetes;Мачете;Мачете;3;
Metal detectors;Металлоискатели;Металл іздегіштер;3;
Fixed-blade knives;Метательные ножи;Ла_тыру_а арнал_ан пыша_тар;3;
Multitools;Мультитулы;Мультитулдар;3;
Headphones for metal detectors;Наушники для металлоискателей;Металл іздегіштерге арнал_ан __ла__аптар;3;
Backpacking knives;Ножи для туризма;Туристерді_ пыша_ы;3;
Flints;Огнива;Ша_па_тар;3;
Hydration packs;Питьевые системы;Су ішетін ж_йе;3;
Night-vision devices;Приборы ночного видения;Т_нде к_ру __ралдары;3;
Solar panels for tourism;Солнечные панели для туризма;Туризмге арнал_ан к_н панельдері;3;
Sleeping bags;Спальные мешки;_йы_тайтын _аптар;3;
Sport backpacks;Спортивные рюкзаки;Спорт  рюкзактары;3;
Telescopes;Телескопы;Телескоптар;3;
Thermoses and travel mugs;Термосы и термокружки;Термосы и термокружки;3;
Trekking poles;Треккинговые палки;Треккинг тая_тары;3;
Backpacking stoves;Туристические горелки;Туристерді_ жандыр_ылары;3;
Travel heating pads;Туристические грелки;Туристерді_ жылыт_ыштары;3;
Camping mats;Туристические коврики;Туристерді_ т_сеніштері;3;
Hodometer for tourism;Туристические курвиметры;Туристерді_ курвиметрлері;3;
Hiking survival kits;Туристические наборы для выживания;Туристерді_ аман _алу_а арнал_ан жина_тары;3;
Camping flashlights;Туристические фонари;Туристерді_ жары_ шамдары;3;
Camera traps;Фотоловушки;Фотот_за_тар;3;
Covers for camping knives and multitools;Чехлы для туристических ножей и мультитулов;Туристерді_ пыша_тары мен мультитулдарыны_ _аптары;3;
Covers for sport backpacks;Чехлы и накидки для спортивных рюкзаков;Спортты_ ар_а_оржындарды_ _аптары мен _аптамалары;3;
Rhythmic gymnastics accessories;Аксессуары для художественной гимнастики;К_ркем гимнастиканы_ керек-жара_ы;3;
Clubs for rhythmic gymnastics;Булавы для художественной гимнастики;К_ркем гимнастика_а арнал_ан басты тая_шалар;3;
Leotards for rhythmic gymnastics and dance;Купальники для художественной гимнастики и танцев;К_ркем гимнастика мен биге киетін бала_сыз, же_сіз киім;3;
Ribbons or rhythmic gymnastics;Ленты для художественной гимнастики;К_ркем гимнастика_а арнал_ан таспалар;3;
Balls for rhythmic gymnastics;Мячи для художественной гимнастики;К_ркем гимнастика_а арнал_ан доптар;3;
Winding for rhythmic gymnastics;Обмотка для гимнастических обручей и булав;К_ркем гимнастика ше_берлерін орайтын таспалар;3;
Hoops for rhythmic gymnastics;Обручи для художественной гимнастики;К_ркем гимнастика_а арнал_ан ше_берлер;3;
Sticks for rhythmic gymnastics;Палочки для художественной гимнастики;К_ркем гимнастика_а арнал_ан тая_шалар;3;
Roll pillows for rhythmic gymnastics;Подушки для кувырков;Басынан асыра аунау_а арнал_ан б_стектер;3;
Ropes for rhythmic gymnastics;Скакалки для художественной гимнастики;К_ркем гимнастика_а арнал_ан секіргіштер;3;
Rhythmic gymnastics equipment for stretching;Тренажеры, подушки и ленты для растяжки;Тренажерлер, б_стектер ж_не керіліп-созылу_а арнал_ан таспалар;3;
Covers for rhythmic gymnastics;Чехлы и сумки для художественной гимнастики;К_ркем гимнастика_а арнал_ан с_мкелер мен _аптар;3;
Automatic gate openers;Автоматика для ворот;_а_па автоматикасы;3;
Gates;Ворота;_а_па;3;
Forged products for gates;Кованые изделия для ворот;_а_паны_ со_ыл_ан б_йымдары;3;
Fences;Ограждения;_ал_а, дуалдар;3;
Parking guards;Ограждения для парковки;К_лік т_ра_ыны_ _ал_асы;3;
Sectional garage doors;Секционные гаражные ворота;Гаражды_ секциялы _а_палары;3;
Door bells accessories;Аксессуары для дверных звонков;Есік _о_ырауыны_ керек-жара_ы;3;
Entry doors;Входные двери;Сырт_ы есік;3;
Door bells;Дверные звонки и аксессуары;Есік _о_ырауы, керек-жара_ы;3;
Interior doors and frames;Межкомнатные двери и коробки;Ішкі есік, боса_а;3;
Interior partitions;Межкомнатные перегородки;Б_лмелер арасын б_летін _ал_а;3;
Mosquito nets;Москитные сетки;Шыбын-шіркей _ткізбейтін торлар;3;
Limiters for doors and windows;Ограничители открывания для дверей и окон;Есік-терезені_ ашылуын шектегіштер;3;
Window sills and accessories;Окна, подоконники и аксессуары;Терезе, терезе жа_тауы мен керек-жара_ы;3;
Plastic doors;Пластиковые двери;Пластик есік;3;
Mailboxes;Почтовые ящики;Пошта ж_шіктері;3;
Roller shutters;Рольставни;Терезені_ орама _а_па_ы;3;
Door furniture;Ручки, замки и фурнитура для дверей;Есік т_т_асы, __лып, фурнитура;3;
Artistic stained glass;Художественные витражи;К_ркем витраждар;3;
Construction ladder accessories;Аксессуары для строительных лестниц;__рылыс сатыларыны_ керек-жара_ы;3;
Gasoline wrenches;Бензиновые гайковерты;Бензинмен істейтін гайка б_ра_ыштар;3;
Measurement tools;Измерительные инструменты;_лшеуіш аспаптар;3;
Refrigeration repair tool;Инструмент для ремонта холодильного оборудования;То_азыту жабды_тарын ж_ндеуге керек __рал-сайман;3;
Carpentry tools;Инструменты для столярных работ;А_аш б_йымдар жасау_а арнал_ан __рал-саймандар;3;
Plastering and painting tools;Инструменты для штукатурных и малярных работ;Сылау ж_не бояу ж_мысына керек __рал-сайман;3;
Spray guns;Краскопульты;Бояу б_ріккіштер;3;
Mounting manholes claws and accessories;Монтерские лазы, когти и комплектующие;Монтерлерді_ керек-жара_ы;3;
Tool sets;Наборы инструментов;__рал-сайман жина_тары;3;
Pressure pumps;Опрессовочные насосы;Пресс сор_ылары;3;
Tooling equipment;Оснастка и расходники для инструмента;__рал-саймандарды_ керек-жара_ы мен ж_мсалатын заттары;3;
Pneumatic tools;Пневмоинструменты;Пневматикалы_ __рал-сайман;3;
Unloading bags and fitter belts;Разгрузочные сумки и пояса монтажника;Монтерді_ с_мке, белбеулері;3;
Marking tool;Разметочный инструмент;Белгі со_атын __рал-сайман;3;
Hand tools;Ручные инструменты;_ол __рал;3;
Tool bags and boxes;Системы хранения инструмента;__рал-сайман са_тау ж_йелері;3;
Building ladders and stepladders;Строительные лестницы и стремянки;__рылыста _олданылатын сатылар мен баспалда_тар;3;
Construction stilts;Строительные ходули;__рылыс_а арнал_ан ая_ жал_а_ыштар;3;
Electric and gasoline saws;Электро- и бензопилы;Электр- ж_не бензин аралары ;3;
Electrical tools;Электроинструменты;Электр __рал-сайман;3;
PVC panels;3D и ПВХ панели для стен;_абыр_а_а арнал_ан 3D ж_не ПВХ панельдер;3;
3D panels for walls;3D панели для стен;_абыр_а_а жапсыратын 3D панельдер;3;
Decorative stucco;Декоративная лепнина;С_ндік бедер;3;
Decorative slats;Декоративные рейки;С_ндік рейкалар;3;
Liquid wallpapers;Жидкие обои;С_йы_ т_с_а_аз;3;
Ceramic tiles;Керамическая плитка;Керамик та_тайша;3;
Accessories for PVC panels;Комплектующие для ПВХ панелей;ПВХ панельдеріні_ _осал_ы б_лшектері;3;
Paints and varnishes;Лакокрасочные материалы;Лак-бояу материалдары;3;
MDF panels for walls;МДФ панели для стен;_абыр_а_а жапсыратын МДФ панельдер;3;
Soft panels for walls;Мягкие панели для стен;_абыр_а_а арнал_ан ж_мса_ панельдер;3;
Floor coverings;Напольные покрытия;Еден жабындары;3;
Facing stone;Облицовочный камень;_асбет _аптайтын тас;3;
Wallpapers;Обои;Т_с_а_аз ;3;
Panels and bas-reliefs;Панно и барельефы;Панно, бедер;3;
Porcelain tile;Плитка из мрамора, керамогранита;М_рмар, керамика-гранит та_ташалар;3;
Dropped ceilings;Подвесные потолки;Аспа т_бе;3;
Ceiling tiles;Потолочная плитка;Т_бе та_тайшалары;3;
Ceiling skirting boards;Потолочные плинтусы;Т_бе жаржиектері;3;
Consumables for laying tiles;Расходные материалы для укладки плитки;Плитка т_сеуге ж_мсалатын материал;3;
Self adhesive wallpaper;Самоклеящиеся обои и пленки;_зі жабысатын т_с_а_аз, _лдір;3;
Paving slabs;Тротуарная плитка;Тротуар та_ташалары;3;
Finishing corners;Уголки и профили отделочные;__деу б_рыштары мен профильдері;3;
Wall panels for kitchen;Фартуки для кухни;Ас_й _абыр_асы жабындары;3;
Forms for creating 3D panels;Формы для создания 3D панелей;3D панельдер жасау_а арнал_ан _алыптар;3;
Baths and accessories;Ванны и комплектующие;Ванна мен оны_ керек-жара_ы;3;
Water supply;Водоснабжение;Сумен жабды_тау;3;
Showers fences and accessories;Душевые кабины, ограждения и аксессуары;Душ кабиналары, _оршаулар мен оларды_ керек-жара_ы;3;
Showers and accessories;Души, гарнитуры и аксессуары;Душ, гарнитурлар мен керек-жара_ы;3;
Kitchen sinks;Кухонные мойки;Ыдыс жу_ыштар;3;
Sinks and pedestals;Раковины, пьедесталы и аксессуары;Ш___ылша, т__ыры мен керек-жара_ы;3;
Siphons and traps;Сифоны и трапы;Сифондар мен траптар;3;
Faucets and accessories;Смесители и аксессуары;Су араластыр_ыштар мен оларды_ керек-жара_ы;3;
Hand dryers;Сушилки для рук;_ол кептіргіштер;3;
Toilet bowls bidets and accessories;Унитазы, биде и аксессуары;Унитаз, биде, оларды_ керек-жара_ы;3;
Water filters and accessories;Фильтры для воды и комплектующие;Су с_згіштер мен _осал_ы жабды_тары;3;
Emergency construction fencing;Аварийное строительное ограждение;__рылысты_ апатты_ _оршаулары;3;
Intercoms and accessories;Домофоны и аксессуары;Домофондар мен оларды_ керек-жара_ы;3;
Security and fire alarm;Охранно-пожарная сигнализация;К_зет-_рт дабыл ж_йесі;3;
Fire equipment;Пожарное оборудование;_ртке _арсы жабды_тар;3;
Safes;Сейфы;Сейфтер;3;
Security cameras and accessories;Системы видеонаблюдения;Видеоба_ылау ж_йелері;3;
ACS;Системы контроля и управления доступом;Кірген-шы__анды ба_ылау ж_не бас_ару ж_йелері;3;
Control seals;Средства опломбирования и опечатывания;Пломба ж_не м_р салу __ралдары;3;
Automation for ventilation;Автоматика для вентиляции;Желдету автоматикасы;3;
Accessories for climatic technology;Аксессуары для конвекторов и тепловых пушек;Конвекторлар мен жылу бергіштерді_ керек-жара_ы;3;
Heater accessories;Аксессуары для обогревателей и вентиляторов;Жылыт_ыштар мен желдеткіштерді_ керек-жара_ы;3;
Meter accessories;Аксессуары для счетчиков;Есептеуіштерді_ керек-жара_ы;3;
Bio fireplaces;Биокамины;Биокаминдер;3;
Biofuel for fireplaces;Биотопливо для биокаминов;Биокаминдерге арнал_ан биоотын;3;
Exhaust fans;Вентиляторы вытяжные;Ауа соратын желдеткіштер;3;
Ventilation systems;Вентиляционные установки;Желдету _ондыр_ылары;3;
Ventilation clamps;Вентиляционные хомуты;Желдеткіш _амыттары;3;
Water fan heaters;Водяные тепловентиляторы;Сумен істейтін жылу желдеткіштері;3;
Built-in convectors;Встраиваемые конвекторы;_ондырылатын конвекторлар;3;
Gas bottles and accessories;Газовые баллоны и принадлежности;Газ баллондары мен оларды_ керек-жара_ы;3;
Gas convectors;Газовые конвекторы;Газ конвекторлар;3;
Gas heaters;Газовые обогреватели;Газ жылыт_ыштар;3;
Burners for heating boilers;Горелки для котлов отопления;Жылыту _азанды_тарыны_ отты_тары;3;
Heating cable and accessories;Греющий кабель и комплектующие;Жылыт_ыш кабель мен оны_ _осал_ы б_лшектері;3;
Chimneys for boilers;Дымоходы для систем отопления;Жылыту ж_йелеріні_ м_ржалары;3;
Coal for heating;Каменный уголь;Тас к_мір;3;
Duct heaters and coolers;Канальные нагреватели и охладители;Канал _ыздыр_ыштар мен сал_ындат_ыштар;3;
Grids for the furnace;Колосники для котлов;_азанды_тарды_ тор темірі;3;
Accessories for chimneys;Комплектующие для дымоходов;М_ржаларды_ _осал_ы б_лшектері;3;
Fittings for boiler rooms and heating points;Комплектующие для котельных и тепловых пунктов;_азанды_ ж_не жылу тораптарыны_ _осал_ы б_лшектері;3;
Radiators and underfloor heating accessories;Комплектующие для радиаторов;Радиаторларды_ _осал_ы б_лшектері;3;
Membrane for expansion tank;Мембраны для расширительных баков;Ке_ейту бактарыны_ мембраналары;3;
Fireplace accessories;Наборы и аксессуары для каминов;Каминдерге арнал_ан жина_тар мен керек жара_;3;
Water convectors;Напольные водяные конвекторы;Жерге _оятын су конвекторлары;3;
Pipe cleaning equipment;Оборудование для прочистки труб;__быр тазалау_а арнал_ан жабды_тар;3;
Furnaces for homes;Печи и камины для дома;_йге арнал_ан пештер мен каминдер;3;
Plate heat exchangers;Пластинчатые теплообменники;Жылу алмастыр_ыштар;3;
Heated towel rails and accessories;Полотенцесушители и комплектующие;С_лгі кептіргіштер мен оларды_ _осал_ы б_лшектері;3;
Fireplace portals;Порталы для каминов;Камин порталдары;3;
Radiators and accessories;Радиаторы и аксессуары;Радиаторлар мен оларды_ керек-жара_ы;3;
Water flowmeters;Расходомеры;Су _лшегіштер;3;
Expansion tanks for heating;Расширительные баки для отопления;Жылыту ж_йелеріні_ ке_ейткіш бактары;3;
Ventilation grilles;Решетки вентиляционные;Желдеткіш торлары;3;
Control systems for boilers;Системы управления для котлов;_азанды_тарды бас_ару ж_йесі;3;
Duct connectors;Соединители воздуховодов;Ауа ж_ретін жолдарды_ жал_а_ыштары;3;
Solar collectors;Солнечные коллекторы;К_н коллекторлары;3;
Gas meters;Счетчики газа;Газ есептеуіштер;3;
Air heating guns;Тепловые пушки;Жылу бергіш;3;
Medium for heating systems;Теплоноситель для систем отопления;Жылыту ж_йелеріні_ жылу тасымалда_ышы;3;
Heat meters;Теплосчетчики;Жылу есептегіштер;3;
Warm floor and accessories;Теплый пол и аксессуары;Жылы еден мен оны_ керек-жара_ы;3;
Chemicals for heating;Химия для систем отопления;Жылыту ж_йесіне керек химия;3;
Gas control cabinets;Шкафные газорегуляторные пункты;Газреттеуші кабиналар;3;
Electric fireplaces;Электрокамины;Электр каминдер;3;
Construction safety helmets;Каски и шлемы строительные;__рылыс_а киетін каскалар мен шлемдер;3;
Welding helmets and glasses;Маски и очки для сварки;Д_некерлеушілерді_ маскалары мен к_з_йнектері;3;
Building knee pads;Наколенники строительные;__рылысшыларды_ тізе_аптары;3;
Hand cleansing pastes and creams;Пасты и крема для очистки рук от сильных загрязнений;_олды_ _атты кірін кетіретін паста, кремдер;3;
Safety work gloves;Рабочие перчатки и краги;Ж_мысшыларды_ _ол_ап, биялайы;3;
Respirators;Респираторы;Респираторлар;3;
Hearing protection;Средства защиты органов слуха;__ла_ты _ор_айтын __ралдар;3;
Safety belts;Страховочные пояса;Са_тандыру белбеулері;3;
Respiratory protection filters and accessories;Фильтры и аксессуары для средств защиты органов дыхания;Тыныс жолдарын _ор_айтын с_згілер мен оларды_ керек-жара_ы;3;
Construction shields and glasses;Щитки и очки защитные;_ор_аныш к_з_йнектері мен бет_ал_андар;3;
Concrete mixers and accessories;Бетономешалки и комплектующие;Бетон араластыр_ыштар мен оларды_ _осал_ы б_лшектері;3;
Construction scales;Весы строительные;__рылыс таразысы;3;
Vibrating plates and accessories;Вибрационные плиты и комплектующие;Вибратор плиталар мен оларды_ _осал_ы б_лшектері;3;
Vibroslats;Виброрейки;Виброрейка;3;
Vibratory rammers;Вибротрамбовки;Вибрациямен ны_ызда_ыштар;3;
High vacuum pumps;Высоковакуумные насосы;Ас_ан вакуум сор_ылар;3;
Hydraulic equipment;Гидравлическое оборудование;Гидравликалы_ жабды_;3;
Hydraulic cylinders;Гидроцилиндры;Гидроцилиндрлер;3;
Lifting equipment;Грузоподъемное оборудование;Ж_к к_тергіш жабды_;3;
Diesel generator sets;Дизель-генераторные установки;Дизель генератор _ондыр_ылары;3;
Crushers and shredders for plastic;Дробилки и измельчители для пластика;Платик уат_ыштар;3;
Residential trailers;Жилые вагончики-бытовки;Т_р_ын вагондар;3;
Mobile block containers;Жилые модули и контейнеры;Т_р_ын модулдер мен контейнертер;3;
Trowel machines;Затирочные машины;Ыс_ылаушы машиналар;3;
Crane controllers;Командоконтроллеры;Командоконтроллерлер;3;
Laser markers;Лазерные маркираторы;Лазер маркираторлар;3;
